product_name,product_color,memory_size_in_gb,ratings,ram_size_in_gb,rom_size_in_gb,product_size_in_inches,front_cam_mp,battery_size_mAh,price_in_rupees
Kechaoda K66 Plus, , ,4.1,32,64,1.8, ,400,₹999
Redmi K20 Pro ,Flame Red,128,4.5,6,128, , ,4000,"₹24,999"
Nokia 3.2 ,Black,32,4.1,3,32, , ,4000,"₹10,003"
Apple iPhone 11 ,Purple,128,4.7,128, , , ,A13,"₹73,600"
Samsung Galaxy M40 ,Midnight Blue,128,4.2,6,128, , ,3500,"₹17,540"
Samsung Galaxy A51 ,Prism Crush Blue,128,4.5,8,128,6.4,32,4000,"₹27,999"
Kechaoda A26, , ,4.1,32,32,0.66, , ,₹999
Samsung Galaxy M11 ,Black,32,4.2,3,32,6.4,8,5000,"₹12,151"
Realme X3 SuperZoom ,Glacier Blue,128,4.4,8,128, , ,4200,"₹27,999"
Realme XT ,Pearl Blue,64,4.5,4,64,6.4,16,,"₹16,999"
Redmi 8A Dual ,Sky White,32,4.3,2,32,6.22,8,5000,"₹8,498"
OPPO A5 2020 ,Mirror Black,64,4.4,4,64, , ,5000,"₹15,990"
Lava A1200, , ,4.2,32,24,1.8, ,1750,"₹1,199"
Redmi K20 Pro ,Glacier Blue,128,4.5,6,128, , ,4000,"₹24,999"
Samsung Galaxy M11 ,Violet,64,4.2,4,64,6.4,8,5000,"₹14,218"
Apple iPhone 11 ,Green,128,4.7,128, , , ,A13,"₹73,600"
Karbonn KX3, , ,3.9,32,32,1.8, ,800,₹794
Apple iPhone 11 ,Green,128,4.7,128, , , ,A13,"₹73,600"
Samsung Galaxy A31 ,Prism Crush White,128,4.4,6,128,6.4,20,5000,"₹20,999"
POCO F1 ,Steel Blue,256,4.5,8,256,6.18,20,4000,"₹22,999"
Samsung Guru FM Plus, , ,4.2,, , , , ,"₹1,662"
Vivo Y12 ,BURGUNDY RED,64,4.4,3,64, , ,5000,"₹12,988"
Panasonic Eluga I8 ,Charcoal Black,32,3.9,3,32,6.22,8,,"₹8,861"
Samsung Galaxy M21 ,Midnight Blue,64,4.4,4,64,6.4,20,6000,"₹15,990"
Samsung Galaxy M21 ,Raven Black,64,4.4,4,64,6.4,20,6000,"₹15,990"
Itel IT 2163, , ,4,32,32,1.8, , ,₹949
Karbonn KX3, , ,3.9,32,32,1.8, ,800,₹799
Kechaoda A26, , ,4.1,32,32,0.66, , ,₹999
Kechaoda A26, , ,4.1,32,32,0.66, , ,₹999
GreenBerry G 118, , ,3.6,256,256, , ,5000,"₹1,799"
Samsung Galaxy A21s ,Black,64,4.3,4,64,6.5,13,5000,"₹16,499"
Samsung Guru FM Plus SM-B110E/D, , ,4.3,, , , , ,"₹1,662"
Redmi Note 8 Pro ,Shadow Black,128,4.4,6,128,6.53,20,4500,"₹17,990"
Redmi Note 8 Pro ,Halo White,128,4.4,8,128,6.53,20,4500,"₹18,999"
Redmi Note 7 Pro ,Space Black,128,4.4,6,128,6.3,13,4000,"₹13,999"
Samsung Guru FM Plus SM-B110E/D, , ,4.3,, , , , ,"₹1,662"
Micromax X744, , ,3.9,32,32, , ,2200,"₹1,289"
I Kall K73 Combo of Two Mobiles, , ,3,32,64, , , ,₹999
Karbonn Jumbo K9, , ,4,Expandable, , , ,1800,"₹1,379"
Samsung Galaxy A21s ,Blue,64,4.3,4,64,6.5,13,5000,"₹16,499"
Samsung Galaxy M11 ,Metallic Blue,32,4.2,3,32,6.4,8,5000,"₹12,345"
Realme 6 Pro ,Lightning Orange,64,4.5,6,64,6.6,16,4300,"₹17,999"
Panasonic Eluga I8 ,Charcoal Black,32,3.9,3,32,6.22,8,,"₹8,861"
Micromax X748, , ,4,32,32, , ,2500,"₹1,549"
Karbonn K-Phone 7, , ,3.7,32,32, , ,800,₹999
Karbonn K-Phone 7, , ,3.7,32,32,2.4, ,800,₹995
Itel IT 2163, , ,4,32,32,1.8, , ,₹949
Karbonn K-Stylo, , ,3.9,12,32, , ,1750,"₹1,499"
Micromax X512, , ,3.9,56,24, , ,1750,₹948
Apple iPhone 11 ,Green,64,4.7,64, , , ,A13,"₹68,300"
Lava A9, , ,4.7,4,4,2.8, ,1700,"₹1,519"
Kechaoda K66 Plus, , ,4.1,32,32, , ,850,₹999
Karbonn KX3, , ,3.9,32,32,1.8, ,800,₹799
BlackZone M4, , ,3.9,32,32, , ,850,₹750
BlackZone M4, , ,3.9,32,32, , ,850,₹705
Lava Spark i8, , ,4.1,32,32,2.8, ,1200,"₹1,770"
Infinix Hot 9 Pro ,Ocean Wave,64,4.6,4,64,6.6,8,5000,"₹10,499"
Karbonn K9, , ,4,6.6, , , ,1800,"₹1,385"
Infinix Hot 9 Pro ,Violet,64,4.6,4,64,6.6,8,5000,"₹10,499"
Realme X3 SuperZoom ,Arctic White,128,4.4,8,128, , ,4200,"₹27,999"
Realme X3 SuperZoom ,Glacier Blue,256,4.1,12,256, , ,4200,"₹32,999"
Samsung Galaxy A51 ,Prism Crush Black,128,4.4,6,128,6.4,32,4000,"₹25,250"
Apple iPhone 11 ,Purple,64,4.7,64, , , ,A13,"₹68,300"
OPPO A1K ,Black,32,4.3,2,32,6.1,5,,"₹7,990"
Kechaoda K115, , ,4.1,32,32, , ,850,₹935
Apple iPhone XR ,White,64,4.6,64, , , ,,"₹52,500"
Panasonic Eluga I8 ,Charcoal Black,32,3.9,3,32,6.22,8,,"₹8,861"
OPPO Reno2 F ,Lake Green,128,4.4,8,128,P70, ,4000,"₹21,990"
Kechaoda K33, , ,4.1,32,32, , ,1000,₹949
Realme X ,Polar White,128,4.5,8,128, , ,3765,"₹20,999"
Samsung Galaxy A51 ,Prism Crush Blue,128,4.4,6,128,6.4,32,4000,"₹25,250"
Lava A7, , ,4.2,32,24,2.4, ,1750,"₹1,499"
Itel IT 2163, , ,4,32,32,1.8, , ,₹949
Lava A7, , ,4.2,32,24,2.4, ,1750,"₹1,699"
Kechaoda K66 Plus, , ,4.1,32,64,1.8, ,400,₹980
OPPO Reno3 Pro ,Midnight Black,256,4.4,8,256,6.4,44,4025,"₹32,990"
Karbonn KX3, , ,3.9,32,32,1.8, ,800,₹799
Realme XT ,Pearl White,64,4.5,4,64,6.4,16,,"₹16,999"
Nokia 105, , ,4.2,4,4, , , ,"₹1,449"
Samsung Galaxy A51 ,Prism Crush White,128,4.5,8,128,6.4,32,4000,"₹27,999"
Kechaoda K10, , ,4,32,32, , ,300,₹999
Kechaoda K10, , ,4,32,32, , ,300,₹970
Karbonn KX3, , ,3.9,32,32,1.8, ,800,₹798
Micromax X388, , ,3.9,32,32, , ,2500,"₹1,069"
Micromax X748, , ,4,32,32, , ,2500,"₹1,549"
Kechaoda K116 Plus, , ,4,256,32, , ,400,₹985
Kechaoda K66 Plus, , ,4.1,32,32, , ,850,₹980
Lava A5, , ,4.1,32,24,2.4, ,1000,"₹1,399"
Lava A5, , ,4.1,32,24,2.4, ,1000,"₹1,369"
Gfive Guru, , ,3.7,64,256, , ,1050,₹699
Gfive Guru, , ,3.7,64,256,1.8, ,1050,₹699
Redmi Note 8 ,Space Black,128,4.4,6,128, , ,4000,"₹15,999"
Panasonic Eluga I8 ,Charcoal Black,32,3.9,3,32,6.22,8,,"₹8,861"
OnePlus 7 ,Mirror Grey,128,4.6,6,128, , ,3700,"₹32,999"
Lava Spark i8, , ,4.1,32,32,2.8, ,1200,"₹1,579"
Itel It 2190, , ,4.1,32,32,1.8,0,,"₹1,049"
Itel IT 2163, , ,4,32,32,1.8, , ,₹949
Kechaoda K115, , ,4.1,32,32, , ,850,₹940
Vivo V19 ,Mystic Silver,128,4.4,8,128,6.44,32,4500,"₹27,990"
Vivo V19 ,Piano Black,128,4.4,8,128,6.44,32,4500,"₹27,990"
Kechaoda K112, , ,3.9,32,64,2.4, ,3600,"₹1,330"
Vivo S1 ,Skyline Blue,128,4.5,4,128,6.38,32,4500,"₹16,990"
Karbonn KX3, , ,3.9,32,32,1.8, ,800,₹799
Kechaoda K112, , ,3.9,32,64,2.4, ,3600,"₹1,320"
Vivo S1 ,Skyline Blue,128,4.4,6,128,6.38,32,4500,"₹19,990"
Kechaoda K33, , ,4.1,32,32, , ,1000,₹949
Micromax X756, , ,4,32,32, , ,3000,"₹1,449"
Karbonn KX26, , ,3.9,32,32,2.4, ,1450,"₹1,090"
Micromax X744, , ,3.9,32,32, , ,2200,"₹1,279"
OPPO Reno2 F ,Sky White,128,4.4,8,128,P70, ,4000,"₹21,990"
Salora Volt 2, , ,3.9,32,32, , ,2000,₹749
Kechaoda K-55 Plus, , ,4,512,32, , ,850,"₹1,045"
Kechaoda K-55 Plus, , ,4,512,32, , ,850,"₹1,045"
Vivo Y91i ,Black,32,4.4,2,32,6.22,5,,"₹9,060"
Good One Magic, , ,4.1,32,32, , ,1000,"₹1,399"
Karbonn K24+, , ,3.9,Expandable, , , ,1600,"₹1,249"
Panasonic Eluga I8 ,Charcoal Black,32,3.9,3,32,6.22,8,,"₹8,861"
Karbonn KX1, , ,3.9,32,32, , ,800,₹899
Samsung Galaxy S10 Lite ,Prism Blue,128,4.5,8,128,6.7,32,4500,"₹42,999"
Apple iPhone 11 ,Red,128,4.7,128, , , ,A13,"₹73,600"
Apple iPhone XS ,Space Grey,64,4.7,64, , , ,A12,"₹62,999"
Samsung Galaxy A21s ,Blue,64,4.3,6,64,6.5,13,5000,"₹18,499"
Itel IT 2163, , ,4,32,32,1.8, , ,₹949
Snexian Guru 106, , , ,32,32, , ,1080,₹649
Snexian GURU 106, , , ,32,32, , ,1080,₹649
Gfive Guru, , ,3.7,256,32, , ,1050,₹699
Karbonn KX3, , ,3.9,32,32,1.8, ,800,₹799
OPPO K1 ,Piano Black,64,4.4,4,64,6.41,25,3600,"₹14,990"
Samsung Galaxy A51 ,Prism Crush White,128,4.4,6,128,6.4,32,4000,"₹25,250"
Samsung Galaxy A71 ,Prism Crush Blue,128,4.4,8,128,6.7,32,4500,"₹32,999"
Kechaoda K10, , ,4,32,32, , ,300,₹975
Kechaoda K66 Plus, , ,4.1,32,64,1.8, ,400,₹985
Realme X2 Pro ,Lunar White,128,4.5,8,128, , ,4000,"₹31,999"
Realme X2 Pro ,Neptune Blue,128,4.5,8,128, , ,4000,"₹31,999"
Realme X2 Pro ,Lunar White,256,4.6,12,256, , ,4000,"₹35,999"
I Kall K3312, , ,3.5,32,64,1.8, ,1000,₹749
Redmi K20 Pro ,Carbon Black,128,4.5,6,128, , ,4000,"₹24,999"
I Kall K6610, , ,3.5,32,64,1.8, ,1000,₹599
Apple iPhone 7 Plus ,Gold,32,4.5,32, , , ,Apple,"₹36,999"
iQOO 3 ,Tornado Black,128,4.4,8,128, , ,4440,"₹34,990"
Samsung Galaxy S10 Lite ,Prism Black,128,4.5,8,128,6.7,32,4500,"₹42,999"
Micromax X412, , ,3.9,32,32, , ,800,₹899
Samsung Galaxy M31 ,Space Black,128,4.5,6,128,6.4,32,6000,"₹19,900"
BlackZone ATOM, , ,3,64,64, , ,4000,₹899
Kechaoda K66 Plus, , ,4.1,32,32, , ,850,₹985
OPPO A9 2020 ,Marine Green,128,4.4,4,128, , ,5000,"₹16,990"
Micromax X749, , ,4.2,32,32, , ,1750,"₹1,390"
Samsung Guru 1200, , ,4.3,, , , , ,"₹1,346"
Easyfone Star, , ,3.8,32,32,1.7, , ,"₹3,999"
Easyfone Star, , ,3.8,32,32,1.7, , ,"₹3,999"
Nokia 3.2 ,Black,32,4.1,3,32, , ,4000,"₹10,003"
Kechaoda K10, , ,4,32,32, , ,300,₹950
Vivo V17 ,Glacier ice white,128,4.5,8,128,6.44,32,4500,"₹24,990"
Apple iPhone 6s ,Space Grey,32,4.5,32, , , ,,"₹29,746"
Vivo S1 ,Diamond Black,128,4.5,4,128,6.38,32,4500,"₹16,990"
I Kall K25 Combo of Two Mobiles, , ,3.5,32,64, , ,1000,"₹1,199"
Kechaoda A27, , ,4.1,32,32,0.66, , ,₹980
Kechaoda K115, , ,4.1,32,32, , ,850,₹935
Kechaoda A27, , ,4.1,32,32,0.66, , ,₹930
Kechaoda K115, , ,4.1,32,32, , ,850,₹930
Samsung Galaxy Note10 Lite ,Aura Black,128,4.5,8,128,6.7,32,4500,"₹39,999"
Samsung Galaxy A21s ,White,64,4.3,6,64,6.5,13,5000,"₹18,499"
Panasonic Eluga I8 ,Charcoal Black,32,3.9,3,32,6.22,8,,"₹8,861"
Samsung Galaxy A21s ,Black,64,4.3,6,64,6.5,13,5000,"₹18,499"
iQOO 3 ,Quantum Silver,128,4.4,8,128, , ,4440,"₹34,990"
LG W30 ,Thunder Blue,32,4,3,32,6.26,16,4000,"₹10,999"
Itel IT 2163, , ,4,32,32,1.8, , ,₹949
iQOO 3 ,Quantum Silver,256,4.4,8,256, , ,4440,"₹37,990"
Micromax X1i Power, , ,3.9,32,32, , ,1750,"₹1,110"
Apple iPhone 11 ,Red,64,4.7,64, , , ,A13,"₹68,300"
Micromax X421, , ,3.9,32,32, , ,1800,"₹1,099"
Detel D1 Guru, , ,3.6,32,32, , ,1000,₹649
Karbonn KX3, , ,3.9,32,32,1.8, ,800,₹799
Micromax X421, , ,3.9,32,32, , ,1800,₹982
Mi Mix 2 ,Black,128,4.3,6,128, , ,,"₹16,999"
Redmi Note 8 Pro ,Electric Blue,64,4.4,6,64,6.53,20,4500,"₹16,899"
Karbonn K451 Power, , ,3.8,32,32,2.4, ,3000,"₹1,498"
Itel IT 2163, , ,4,32,32, , ,1000,₹839
Hicell C2 Dezire, , ,3.4,32,32,1.8, ,1050,₹629
Hicell C2 Dezire, , ,3.4,32,32,1.8, ,1050,₹629
Samsung Galaxy A71 ,Prism Crush Black,128,4.4,8,128,6.7,32,4500,"₹32,999"
Redmi Note 6 Pro ,Red,64,4.5,4,64,6.26,20,4000,"₹14,995"
Kechaoda K116 Plus, , ,4,32,32, , ,400,₹999
