product_name,product_color,memory_size_in_gb,ratings,ram_size_in_gb,rom_size_in_gb,product_size_in_inches,front_cam_mp,battery_size_mAh,price_in_rupees
GreenBerry 312, , ,3.4,32,64,1.8, ,1000,₹599
Karbonn KX3, , ,3.9,32,32,1.8, ,800,₹799
Itel It2171, , ,4,32,32,1.8, ,1000,₹849
Itel It2171, , ,4,32,32, , ,1000,₹850
Apple iPhone XS ,Silver,256,4.7,256, , , ,A12,"₹84,900"
Ssky S-20 Eco, , ,3.8,32,64,1.8, ,1000,₹749
I Kall K3310 Combo Of Two Mobile, , ,3.7,32,64,1.8, ,1000,"₹1,199"
Vivo Y81 ,Black,32,4.4,3,32,6.1,5,,"₹13,990"
Karbonn K2 Boom Box, , ,3.9,32,32, , ,1000,₹950
Samsung Metro 313 Dual Sim, , ,4.2,16,2, , ,1000,"₹2,025"
I Kall K99 Combo Of Two Mobile, , ,3.5,32,64,1.8, ,1000,"₹1,099"
Panasonic Eluga I8 ,Charcoal Black,32,3.9,3,32,6.22,8,,"₹8,861"
Heemax H10, , , ,32,32, , ,2500,₹799
Apple iPhone XS ,Silver,512,4.7,512, , , ,A12,"₹1,14,900"
ITEL IT5025, , ,3.9,32,32,2.4, ,1200,"₹1,273"
OPPO F9 Pro ,Sunrise Red,64,4.5,6,64,6.3,25,3500,"₹19,990"
Redmi Note 7 Pro ,Nebula Red,128,4.4,6,128,6.3,13,4000,"₹17,990"
Itel IT 2163, , ,4,32,32,1.8, , ,₹949
MTR BANANA, , ,4.3,64,64, , ,800,₹649
OPPO F11 Pro ,Aurora Green,64,4.4,6,64,6.5,16,4000,"₹24,990"
I kall k6300 NEW, , ,4.3,32,32, , ,3000,"₹1,499"
Karbonn KX3, , ,3.9,32,32,1.8, ,800,₹799
Kechaoda K35, , ,4,32,32,2.8,0.3,,"₹1,300"
I Kall K3310, , ,3.7,32,64, , ,1000,₹639
Itel It 2161, , ,4,32,32,1.8, , ,₹998
Peace FM1, , ,3.5,64,32, , ,850,₹799
Nokia 3.2 ,Black,32,4.1,3,32,6.26,5,,"₹10,110"
Itel Magic 1, , ,4.2,32,32,2.4,0.3,,"₹1,549"
Heemax H1 Star, , ,3.1,32,32, , ,1000,₹599
Peace P2, , ,3.6,4.57, , , ,850,₹635
I Kall K22 Combo of Two Mobiles, , ,3.3,32,64, , ,800,"₹1,198"
Vivo V7+ ,Gold,64,4.4,4,64,5.99,24,,"₹22,221"
Karbonn K5 Plus, , ,4,32,32,1.8, ,1750,₹949
Gionee S10 Lite ,Black,32,4.1,4,32,5.2,16,,"₹11,499"
Samsung Galaxy A70 ,White,128,4.3,6,128,6.7,32,4500,"₹29,999"
Ziox X73, , ,3,32,32, , ,1000,₹780
Samsung Galaxy Note 10 ,Aura Black,256,4.5,8,256, , ,3500,"₹75,000"
Panasonic Eluga I8 ,Charcoal Black,32,3.9,3,32,6.22,8,,"₹8,861"
MTR Mt310, , ,3.8,64,64, , ,800,₹649
Karbonn K59 STAR, , , ,32,32, , ,1000,"₹1,199"
Samsung Galaxy A30s ,Prism Crush Violet,64,4.3,4,64, , ,4000,"₹18,900"
Itel IT 2163, , ,4,32,32,1.8, , ,₹949
Mafe Guru, , ,3.4,Expandable, , , ,1050,₹845
InFocus Hero Selfie C2, , ,3.8,24,24, , ,,"₹1,280"
Samsung Galaxy A70s ,Prism Crush Red,128,4.2,6,128,6.7,32,4500,"₹25,990"
GreenBerry Music, , ,3,32,32, , ,,₹599
Honor 9N ,Sapphire Blue,128,4.3,4,128,5.84es,16,3000,"₹19,999"
Karbonn KX3, , ,3.9,32,32,1.8, ,800,₹799
I Kall K20 New Combo of Two Mobiles, , ,3.4,32,64, , ,1000,"₹1,199"
Mymax M8110, , ,3.6,32,32, , ,1500,₹755
Itel Muzik 400, , ,4.1,4,4,2.4, ,3000,"₹1,563"
I Kall K71 Combo of Two Mobile, , ,3.2,32,64, , , ,₹899
Itel Muzik 400, , ,4.1,4,4,2.4, ,3000,"₹1,540"
Micromax X072, , ,3.8,56,56,4.4, , ,"₹1,290"
MTR MT310, , ,3.8,64,64, , ,800,₹649
Kechaoda K28, , ,4,32,64,2.4, ,1700,"₹1,250"
I Kall K28, , ,3.4,32,64, , , ,₹639
Micromax X807, , ,4,32,32, , ,1450,"₹1,999"
Celkon Cliq 2 ,Black&Grey,32,3,3,32,5,8,,"₹8,110"
OPPO F11 ,Marble Green,128,4.4,6,128,6.53,16,4020,"₹17,990"
Salora Zing+, , ,3.7,32,32, , ,1800,"₹1,049"
Lava One, , ,4.1,32,25,2.4, ,1000,"₹1,500"
I Kall K3310 Combo of Three Mobiles, , ,3.6,32,64, , ,800,"₹1,499"
Panasonic Eluga I8 ,Charcoal Black,32,3.9,3,32,6.22,8,,"₹8,861"
Forme Turbo1, , ,4.8,12,15, , ,1800,₹899
GreenBerry 3310, , ,3.1,32,32, , ,,₹599
GreenBerry 3310, , ,3.1,32,32, , ,,₹599
Itel IT 2163, , ,4,32,32,1.8, , ,₹949
Trio T6XL, , ,3.5,32,32, , ,1800,₹891
I Kall K88 Combo Of Two Mobile, , ,3.5,32,64,1.8, ,1000,"₹1,099"
I Kall K24 New, , ,3.5,32,64, , ,1000,₹599
I Kall K24 New, , ,3.5,32,64, , ,1000,₹639
nuvo One, , ,3.8,32,Expandable, , ,800,₹649
Karbonn KX3, , ,3.9,32,32,1.8, ,800,₹799
Nokia 4.2 ,Pink Sand,32,4.1,3,32,5.71,8,3000,"₹12,990"
Nokia 216, , ,4.2,16,16, , ,1020,"₹2,499"
Micromax X781, , ,3.8,32,256, , ,2800,"₹1,450"
Kechaoda K28, , ,4,32,64,2.4, ,1700,"₹1,260"
Honor 9x Pro ,Phantom Purple,256,4.1,6,256,6.59,16,4000,"₹17,999"
Salora Atom, , ,3.6,32,32, , ,1000,₹649
Micromax X419, , , ,32,32, , ,1750,"₹1,049"
I Kall K27 New Combo of Three Mobiles, , ,3.7,32,64, , ,800,"₹1,795"
I Kall K99 Combo Of Two Mobile, , ,3.5,32,64,1.8, ,1000,"₹1,099"
Panasonic Eluga I8 ,Charcoal Black,32,3.9,3,32,6.22,8,,"₹8,861"
I Kall K14 Combo of Two Mobiles, , ,3.4,32,32, , , ,"₹1,099"
Tork T27 Boom, , , ,32,32, , ,2800,"₹1,299"
InFocus Hero Selfie C1, , ,3.9,32,32,1.8, ,1000,₹899
Itel IT 2163, , ,4,32,32,1.8, , ,₹949
Jmax M43 Combo of two, , ,3.9,32,32, , ,1050,"₹1,299"
Kechaoda A 31, , ,4,32,32, , ,800,"₹1,060"
I Kall K3310, , ,3.7,32,64,1.8, ,1000,₹649
Mafe X1, , ,3.7,32,64,1.8, ,1050,₹699
I Kall K28 Combo of Two Mobiles, , ,3.4,32,64, , , ,"₹1,099"
Karbonn KX3, , ,3.9,32,32,1.8, ,800,₹799
MU M370, , ,4.3,32,32, , ,700,₹980
MU M370, , ,4.3,32,32, , ,700,₹980
Huawei P9 ,Titanium Grey,32,4.5,3,32,5.2,8,3000,"₹39,999"
Huawei P9 ,Mystic Silver,32,4.5,3,32,5.2,8,3000,"₹39,999"
JIVI N201 Selfie, , ,3.8,0.032,Expandable, , ,,"₹1,198"
I Kall K22 New, , ,3.6,32,64, , ,1000,₹649
Apple iPhone 11 Pro ,Midnight Green,256,4.7,256, , , ,A13,"₹1,21,300"
Samsung Galaxy Note 9 ,Alpine White,128,4.6,6,128,6.4,8,4000,"₹73,600"
Apple iPhone XS Max ,Space Grey,512,4.6,512, , , ,A12,"₹1,19,900"
I Kall K19, , ,2.1,32,32,2.8, ,2500,"₹1,699"
itel it5617, , ,3.9,32,32, , ,2500,"₹1,499"
Lenovo K8 ,Fine Gold,32,4.1,3,32,5.2,8,,"₹11,499"
InFocus Hero Power B1, , ,4,32,32, , ,3000,"₹1,640"
Asus Zenfone 3 Laser ,Silver,32,4,4,32,5.5,8,,"₹19,999"
I Kall K22 Combo of Two Mobiles, , ,3.3,32,32, , ,800,"₹1,199"
Panasonic Eluga I8 ,Charcoal Black,32,3.9,3,32,6.22,8,,"₹8,861"
I Kall K900 ,Dark Blue,64,3.1,4,64, , ,,"₹6,999"
MTR Bullet, , ,4.3,64,64, , ,2000,"₹1,049"
I Kall K9 ,Blue,16,3.5,2,16, , ,2800,"₹5,499"
Itel IT 2163, , ,4,32,32,1.8, , ,₹949
Trio T3 Selfie, , ,3.3,32,64, , ,1000,₹700
Coolpad Mega 5C ,Grey,16,3.5,2,16, , ,2500,"₹5,999"
BlackBear i7, , ,3.8,32,32,2, ,1550,"₹1,690"
Karbonn KX3, , ,3.9,32,32,1.8, ,800,₹799
Peace P1 Wireless FM, , ,3.7,32,32, , ,850,₹659
Samsung Guru FM Plus, , ,4.2,128, , , , ,"₹1,450"
MIXX M1 Mini, , , ,64,64, , ,800,₹799
MTR Rowdy, , , ,64,64, , ,2000,"₹1,599"
MIXX M1 Mini, , , ,64,64, , ,800,₹799
Itel it2172, , ,4.1,32,32,1.8, ,1000,"₹1,115"
Itel IT5025, , ,3.9,32,32,2.4, ,1200,"₹1,289"
MTR Mt07, , ,3.7,64,64, , ,800,₹999
MTR Mt07, , ,3.7,64,64, , ,800,"₹1,099"
MTR Mt07, , ,3.7,64,64, , ,800,₹999
Heemax H9, , , ,32,32, , ,1000,₹699
Heemax H9, , , ,32,32, , ,1000,₹699
Heemax H2 Combo of Two mobiles, , ,2.8,32,32, , ,1000,"₹1,099"
Redmi Note 6 Pro ,Rose Gold,64,4.5,6,64,6.26,20,4000,"₹17,999"
Honor 8X ,Blue,64,4.4,6,64,6.5,16,3750,"₹19,999"
Panasonic Eluga I8 ,Charcoal Black,32,3.9,3,32,6.22,8,,"₹8,861"
Nokia 3.1 Plus ,Charcoal,32,4.2,3,32, , ,3500,"₹12,700"
Nuvo Flash Echo, , ,3.8,1,1,2.4, ,1000,₹849
nuvo FLASH, , ,3.6,32,32,2.4, ,1000,₹899
nuvo FLASH, , ,3.6,32,32,2.4, ,1000,₹849
nuvo FLASH, , ,3.6,32,32,2.4, ,1000,₹899
Itel IT 2163, , ,4,32,32,1.8, , ,₹949
nuvo FLASH, , ,3.6,32,32,2.4, ,1000,₹899
Vivo Y17 ,Mineral Blue,128,4.4,4,128,6.35,20,5000,"₹13,900"
Vivo Y95 ,Nebula Purple,64,4.4,4,64,6.22,20,4030,"₹14,990"
Karbonn KX3, , ,3.9,32,32,1.8, ,800,₹799
I Kall K4 ,Sea Blue,16,3.4,2,16, , ,2500,"₹4,899"
"nuvo 2.4"" Display with 2500mAh Battery and Selfie Camera", , , ,32,32, , ,2500,"₹1,049"
Kechaoda K103, , ,4.1,32,64,2.8, ,1700,"₹1,299"
MTR MT Bullet, , ,4.2,64,64, , ,1200,"₹1,499"
EcoTel E12, , ,3.3,32,64, , ,1000,₹580
EcoTel E12, , ,3.3,32,64, , ,1000,₹580
MTR Guru, , ,3.9,64,64, , ,800,"₹1,199"
Itel Magic 1, , ,4.2,32,32,2.4,0.3,,"₹1,549"
Usha Shriram NJ-2 AMAZE, , , ,32,128, , ,2500,"₹1,090"
Redmi Note 7 ,Onyx Black,64,4.5,4,64,6.3,13,4000,"₹15,499"
Huawei P9 ,Titanium Grey,32,4.5,3,32,5.2,8,3000,"₹39,999"
Huawei P9 ,Mystic Silver,32,4.5,3,32,5.2,8,3000,"₹39,999"
JIVI N201 Selfie, , ,3.8,0.032,Expandable, , ,,"₹1,198"
Panasonic Eluga I8 ,Charcoal Black,32,3.9,3,32,6.22,8,,"₹8,861"
Kechaoda K28, , ,4,32,64,2.4, ,1700,"₹1,260"
Apple iPhone XS Max ,Space Grey,512,4.6,512, , , ,A12,"₹1,19,900"
itel it5617, , ,3.9,32,32, , ,2500,"₹1,499"
Itel IT 2163, , ,4,32,32,1.8, , ,₹949
Samsung Galaxy Note 9 ,Alpine White,128,4.6,6,128,6.4,8,4000,"₹73,600"
I Kall K9 ,Blue,16,3.5,2,16, , ,2800,"₹5,499"
Tork X1, , , ,32,32,1.8, ,1000,₹830
Karbonn KX3, , ,3.9,32,32,1.8, ,800,₹799
I Kall K55 with MP3/FM Player Neckband, , ,3.5,32,64,1.8, ,1000,₹899
Lenovo K8 ,Fine Gold,32,4.1,3,32,5.2,8,,"₹11,499"
Apple iPhone 11 Pro ,Midnight Green,256,4.7,256, , , ,A13,"₹1,21,300"
nuvo NF-18, , ,3.8,32,32,1.8, ,800,"₹1,099"
Asus Zenfone 3 Laser ,Silver,32,4,4,32,5.5,8,,"₹19,999"
I Kall K900 ,Dark Blue,64,3.1,4,64, , ,,"₹6,999"
MTR Bullet, , ,4.3,64,64, , ,2000,"₹1,049"
InFocus Hero Power B1, , ,4,32,32, , ,3000,"₹1,640"
I Kall K3310, , ,3.7,32,64,1.8, ,1000,₹649
Trio T3 Selfie, , ,3.3,32,64, , ,1000,₹700
Itel It 5022, , ,4.1,32,32,2.4, ,1000,"₹1,250"
Mafe X1, , ,3.7,32,64,1.8, ,1050,₹699
Usha Shriram NJ-2 AMAZE, , , ,32,128, , ,2500,"₹1,090"
BlackBear i7, , ,3.8,32,32,2, ,1550,"₹1,690"
MTR Rowdy, , , ,64,64, , ,2000,"₹1,599"
Panasonic Eluga I8 ,Charcoal Black,32,3.9,3,32,6.22,8,,"₹8,861"
Micromax X516, , ,3.9,32,32, , ,1750,"₹1,990"
Heemax H9, , , ,32,32, , ,1000,₹699
Heemax H9, , , ,32,32, , ,1000,₹699
Itel IT 2163, , ,4,32,32,1.8, , ,₹949
Heemax H9, , , ,32,32, , ,1000,₹699
MTR Mt07, , ,3.7,64,64, , ,800,"₹1,099"
MTR Mt07, , ,3.7,64,64, , ,800,₹999
MTR Mt07, , ,3.7,64,64, , ,800,₹999
Vivo X50 ,Glaze Black,128, ,8,128, , ,4200,"₹34,990"
Karbonn KX3, , ,3.9,32,32,1.8, ,800,₹799
Vivo X50 ,Glaze Black,256, ,8,256, , ,4200,"₹37,990"
Vivo X50 Pro ,Alpha Grey,256, ,8,256, , ,4315,"₹49,990"
Vivo X50 ,Frost Blue,256, ,8,256, , ,4200,"₹37,990"
Vivo X50 ,Frost Blue,128, ,8,128, , ,4200,"₹34,990"
Itel IT5025, , ,3.9,32,32,2.4, ,1200,"₹1,289"
Mymax M30, , ,3.6,32,32, , ,1000,₹789
Gamma K-8, , ,3.4,32,32,2.4, ,2200,"₹1,099"
InFocus Hero Play M1, , ,3.9,24,24,1.8, ,1800,₹950
Redmi 7 ,Comet Blue,32,4.3,2,32, , ,4000,"₹7,995"
OPPO A7 ,Glaze Blue,64,4.4,4,64,6.2,16,4230,"₹17,500"
Heemax H2 Combo of Two mobiles, , ,2.8,32,32, , ,1000,"₹1,099"
Redmi Note 6 Pro ,Rose Gold,64,4.5,6,64,6.26,20,4000,"₹17,999"
Honor 8X ,Blue,64,4.4,6,64,6.5,16,3750,"₹19,999"
Panasonic Eluga I8 ,Charcoal Black,32,3.9,3,32,6.22,8,,"₹8,861"
Nokia 3.1 Plus ,Charcoal,32,4.2,3,32, , ,3500,"₹12,700"
Nuvo Flash Echo, , ,3.8,1,1,2.4, ,1000,₹849
nuvo FLASH, , ,3.6,32,32,2.4, ,1000,₹899
nuvo FLASH, , ,3.6,32,32,2.4, ,1000,₹849
nuvo FLASH, , ,3.6,32,32,2.4, ,1000,₹899
Itel IT 2163, , ,4,32,32,1.8, , ,₹949
nuvo FLASH, , ,3.6,32,32,2.4, ,1000,₹899
Vivo Y17 ,Mineral Blue,128,4.4,4,128,6.35,20,5000,"₹13,900"
Vivo Y95 ,Nebula Purple,64,4.4,4,64,6.22,20,4030,"₹14,990"
Karbonn KX3, , ,3.9,32,32,1.8, ,800,₹799
I Kall K4 ,Sea Blue,16,3.4,2,16, , ,2500,"₹4,899"
"nuvo 2.4"" Display with 2500mAh Battery and Selfie Camera", , , ,32,32, , ,2500,"₹1,049"
Kechaoda K103, , ,4.1,32,64,2.8, ,1700,"₹1,299"
MTR MT Bullet, , ,4.2,64,64, , ,1200,"₹1,499"
EcoTel E12, , ,3.3,32,64, , ,1000,₹580
EcoTel E12, , ,3.3,32,64, , ,1000,₹580
MTR Guru, , ,3.9,64,64, , ,800,"₹1,199"
Itel Magic 1, , ,4.2,32,32,2.4,0.3,,"₹1,549"
Usha Shriram NJ-2 AMAZE, , , ,32,128, , ,2500,"₹1,090"
Redmi Note 7 ,Onyx Black,64,4.5,4,64,6.3,13,4000,"₹15,499"
